UUID        = 49904865-0078-4cf5-ad73-2cd0cd9e30bb
ScanDate    = 20191029_113315
LogVersion  = EJA_1
LogDataType = ACQUISITION_INFO
NumSlices   = 32
NumVolumes  = 738
NumEchoes   = 1

VOLUME   SLICE   ACQ_START_TICS  ACQ_FINISH_TICS  ECHO
     2       4         16703050         16703072     0
     2      12         16703050         16703072     0
     2      20         16703050         16703072     0
     2      28         16703050         16703072     0
     2       7         16703086         16703109     0
     2      15         16703086         16703109     0
     2      23         16703086         16703109     0
     2      31         16703086         16703109     0
     2       2         16703123         16703145     0
     2      10         16703123         16703145     0
     2      18         16703123         16703145     0
     2      26         16703123         16703145     0
     2       5         16703159         16703182     0
     2      13         16703159         16703182     0
     2      21         16703159         16703182     0
     2      29         16703159         16703182     0
     3       0         16703204         16703226     0
     3       8         16703204         16703226     0
     3      16         16703204         16703226     0
     3      24         16703204         16703226     0
     3       3         16703240         16703263     0
     3      11         16703240         16703263     0
     3      19         16703240         16703263     0
     3      27         16703240         16703263     0
     3       6         16703277         16703299     0
     3      14         16703277         16703299     0
     3      22         16703277         16703299     0
     3      30         16703277         16703299     0
     3       1         16703313         16703336     0
     3       9         16703313         16703336     0
     3      17         16703313         16703336     0
     3      25         16703313         16703336     0
     3       4         16703350         16703372     0
     3      12         16703350         16703372     0
     3      20         16703350         16703372     0
     3      28         16703350         16703372     0
     3       7         16703386         16703409     0
     3      15         16703386         16703409     0
     3      23         16703386         16703409     0
     3      31         16703386         16703409     0
     3       2         16703423         16703445     0
     3      10         16703423         16703445     0
     3      18         16703423         16703445     0
     3      26         16703423         16703445     0
     3       5         16703459         16703482     0
     3      13         16703459         16703482     0
     3      21         16703459         16703482     0
     3      29         16703459         16703482     0
     4       0         16703504         16703526     0
     4       8         16703504         16703526     0
     4      16         16703504         16703526     0
     4      24         16703504         16703526     0
     4       3         16703540         16703563     0
     4      11         16703540         16703563     0
     4      19         16703540         16703563     0
     4      27         16703540         16703563     0
     4       6         16703577         16703599     0
     4      14         16703577         16703599     0
     4      22         16703577         16703599     0
     4      30         16703577         16703599     0
     4       1         16703613         16703636     0
     4       9         16703613         16703636     0
     4      17         16703613         16703636     0
     4      25         16703613         16703636     0
     4       4         16703650         16703672     0
     4      12         16703650         16703672     0
     4      20         16703650         16703672     0
     4      28         16703650         16703672     0
     4       7         16703686         16703709     0
     4      15         16703686         16703709     0
     4      23         16703686         16703709     0
     4      31         16703686         16703709     0
     4       2         16703723         16703745     0
     4      10         16703723         16703745     0
     4      18         16703723         16703745     0
     4      26         16703723         16703745     0
     4       5         16703759         16703782     0
     4      13         16703759         16703782     0
     4      21         16703759         16703782     0
     4      29         16703759         16703782     0
     5       0         16703804         16703826     0
     5       8         16703804         16703826     0
     5      16         16703804         16703826     0
     5      24         16703804         16703826     0
     5       3         16703840         16703863     0
     5      11         16703840         16703863     0
     5      19         16703840         16703863     0
     5      27         16703840         16703863     0
     5       6         16703877         16703899     0
     5      14         16703877         16703899     0
     5      22         16703877         16703899     0
     5      30         16703877         16703899     0
     5       1         16703913         16703936     0
     5       9         16703913         16703936     0
     5      17         16703913         16703936     0
     5      25         16703913         16703936     0
     5       4         16703950         16703972     0
     5      12         16703950         16703972     0
     5      20         16703950         16703972     0
     5      28         16703950         16703972     0
     5       7         16703986         16704009     0
     5      15         16703986         16704009     0
     5      23         16703986         16704009     0
