UUID        = 49904865-0078-4cf5-ad73-2cd0cd9e30bb
ScanDate    = 20191029_113315
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     16703733     RESP   3993 
     16703741     RESP   3963 
     16703749     RESP   3958 
     16703757     RESP   3928 
     16703765     RESP   3888 
     16703773     RESP   3848 
     16703781     RESP   3763 
     16703789     RESP   3658 
     16703797     RESP   3563 
     16703805     RESP   3448 
     16703813     RESP   3333 
     16703821     RESP   3228 
     16703829     RESP   3093 
     16703837     RESP   2993 
     16703845     RESP   2898 
     16703853     RESP   2763 
     16703861     RESP   2623 
     16703869     RESP   2513 
     16703877     RESP   2373 
     16703885     RESP   2263 
     16703893     RESP   2178 
     16703901     RESP   2118 
     16703909     RESP   2018 
     16703917     RESP   1928 
     16703925     RESP   1828 
     16703933     RESP   1758 
     16703941     RESP   1683 
     16703949     RESP   1578 
     16703957     RESP   1458 
     16703965     RESP   1348 
     16703973     RESP   1248 
     16703981     RESP   1153 
     16703989     RESP   1023 
     16703997     RESP    938 
     16704005     RESP    878 
     16704013     RESP    828 
     16704021     RESP    768 
     16704029     RESP    698 
     16704037     RESP    648 
     16704045     RESP    623 
     16704053     RESP    588 
     16704061     RESP    573 
     16704069     RESP    538 
     16704077     RESP    513 
     16704085     RESP    488 
     16704093     RESP    468 
     16704101     RESP    453 
     16704109     RESP    448 
     16704117     RESP    428 
     16704125     RESP    393 
     16704133     RESP    338 
     16704141     RESP    398 
     16704149     RESP    348 
     16704157     RESP    328 
     16704165     RESP    318 
     16704173     RESP    288 
     16704181     RESP    283 
     16704189     RESP    258 
     16704197     RESP    253 
     16704205     RESP    258 
     16704213     RESP    243 
     16704221     RESP    243 
     16704229     RESP    243 
     16704237     RESP    238  ECG_TRIGGER
     16704245     RESP    208 
     16704253     RESP    213 
     16704261     RESP    233 
     16704269     RESP    248 
     16704277     RESP    278 
     16704285     RESP    273 
     16704293     RESP    253 
     16704301     RESP    308 
     16704309     RESP    358 
     16704317     RESP    428 
     16704325     RESP    518 
     16704333     RESP    653 
     16704341     RESP    773 
     16704349     RESP    908 
     16704357     RESP   1018 
     16704365     RESP   1143 
     16704373     RESP   1283 
     16704381     RESP   1403 
     16704389     RESP   1533 
     16704397     RESP   1678 
     16704405     RESP   1803 
     16704413     RESP   1933 
     16704421     RESP   2033 
     16704429     RESP   2158 
     16704437     RESP   2303 
     16704445     RESP   2468 
     16704453     RESP   2603 
     16704461     RESP   2738 
     16704469     RESP   2893 
     16704477     RESP   3003 
     16704485     RESP   3123 
     16704493     RESP   3218 
     16704501     RESP   3348 
     16704509     RESP   3418 
     16704517     RESP   3513 
     16704525     RESP   3598 
     16704533     RESP   3688 
     16704541     RESP   3778 
     16704549     RESP   3853 
     16704557     RESP   3933 
     16704565     RESP   4028 
     16704573     RESP   4095 
     16704581     RESP   4095 
     16704589     RESP   4095 
     16704597     RESP   4095 
     16704605     RESP   4095 
     16704613     RESP   4095 
     16704621     RESP   4095 
     16704629     RESP   4095 
     16704637     RESP   4095 
     16704645     RESP   4095 
     16704653     RESP   4095 
     16704661     RESP   4095 
     16704669     RESP   4095 
     16704677     RESP   4095 
     16704685     RESP   4095 
     16704693     RESP   4095 
     16704701     RESP   4095 
     16704709     RESP   4095 
     16704717     RESP   3978 
     16704725     RESP   3843 
     16704733     RESP   3668 
     16704741     RESP   3623 
     16704749     RESP   3478 
     16704757     RESP   3343 
     16704765     RESP   3223 
     16704773     RESP   3073 
     16704781     RESP   2948 
     16704789     RESP   2783 
     16704797     RESP   2653 
     16704805     RESP   2518 
     16704813     RESP   2368 
     16704821     RESP   2238 
     16704829     RESP   2113 
     16704837     RESP   1993 
     16704845     RESP   1843 
     16704853     RESP   1738 
     16704861     RESP   1608 
     16704869     RESP   1493 
     16704877     RESP   1388 
     16704885     RESP   1273 
     16704893     RESP   1163 
     16704901     RESP   1058 
     16704909     RESP    968 
     16704917     RESP    898 
     16704925     RESP    843 
     16704933     RESP    808 
     16704941     RESP    773 
     16704949     RESP    743 
     16704957     RESP    708 
     16704965     RESP    668 
     16704973     RESP    618 
     16704981     RESP    543 
     16704989     RESP    468 
     16704997     RESP    408 
     16705005     RESP    333 
     16705013     RESP    268 
     16705021     RESP    218 
     16705029     RESP    158 
     16705037     RESP    128 
     16705045     RESP    103 
     16705053     RESP     73 
     16705061     RESP     33 
     16705069     RESP     38 
     16705077     RESP     18 
     16705085     RESP     18 
     16705093     RESP      0 
     16705101     RESP     18 
     16705109     RESP      0 
     16705117     RESP     18 
     16705125     RESP     43 
     16705133     RESP     63 
     16705141     RESP     73 
     16705149     RESP     78 
     16705157     RESP     73 
     16705165     RESP     83 
     16705173     RESP    133 
     16705181     RESP    208 
     16705189     RESP    298 
     16705197     RESP    453 
     16705205     RESP    613 
     16705213     RESP    793 
     16705221     RESP    948 
     16705229     RESP   1083 
     16705237     RESP   1208 
     16705245     RESP   1383 
     16705253     RESP   1543 
     16705261     RESP   1713 
     16705269     RESP   1873 
     16705277     RESP   2003 
     16705285     RESP   2113 
     16705293     RESP   2213 
